#EXPORTTYPE:                 ,ALL                       
#FILE:                       ,¿‰’•1.ngb-sd7               
#FORMAT:                     ,NETZSCH5                  
#FTYPE:                      ,ANSI                      
#IDENTITY:                   ,1                         
#DECIMAL:                    ,POINT                     
#SEPARATOR:                  ,COMMA                     
#MTYPE:                      ,DSC                       
#INSTRUMENT:                 ,NETZSCH DSC 204F1 Phoenix 
#PROJECT:                    ,1                         
#DATE/TIME:                  ,2023/4/24 16:00:36 (UTC+8)
#CORR. FILE:                 ,                          
#TEMPCAL:                    ,applied                   
#SENSITIVITY:                ,applied                   
#LABORATORY:                 ,                          
#OPERATOR:                   ,0                         
#REMARK:                     ,                          
#SAMPLE:                     ,¿‰’•                        
#SAMPLE MASS /mg:            ,8.70                      
#MATERIAL:                   ,                          
#REFERENCE:                  ,                          
#REFERENCE MASS /mg:         ,0                         
#TYPE OF CRUCIBLE:           ,Concavus Pan Al, open     
#SAMPLE CRUCIBLE MASS /mg:   ,0                         
#REFERENCE CRUCIBLE MASS /mg:,0                         
#M.RANGE /¶ÃV:                ,5000                      
#TAU-R:                      ,---                       
#CORR. CODE:                 ,000                       
#EXO:                        ,+1                        
#RANGE:                      ,20°„C/10.0(K/min)/120°„C    
#SEGMENT:                    ,S1/1                      
#SEG. 1:                     ,20°„C/10.0(K/min)/120°„C    

#*RESULTS:     ,File,Segment,Result,Unit,Y_value,Unit ,Range_Xmin,Unit,Range_Xmax,Unit,Range_Ymin,Unit ,Range_Ymax,Unit 
#*Area (DSC)(o),¿‰’•1 ,1      ,-64.2 ,J/g ,-      ,-    ,40.9      ,°„C  ,115.5     ,°„C  ,-0.4018   ,mW/mg,-0.5886   ,mW/mg
#*Onset (DSC)  ,¿‰’•1 ,1      ,40.9  ,°„C  ,-0.3843,mW/mg,27.1      ,°„C  ,86.9      ,°„C  ,-0.3427   ,mW/mg,-0.7623   ,mW/mg
#*Peak (DSC)   ,¿‰’•1 ,1      ,88.1  ,°„C  ,-0.7629,mW/mg,27.1      ,°„C  ,102.1     ,°„C  ,-0.3427   ,mW/mg,-0.7099   ,mW/mg
#*End (DSC)    ,¿‰’•1 ,1      ,115.5 ,°„C  ,-0.5887,mW/mg,88.8      ,°„C  ,119.8     ,°„C  ,-0.7628   ,mW/mg,-0.5461   ,mW/mg

##Temp./°„C,Time/min,DSC/(mW/mg),Sensit./(uV/mW),Segment
  9.38500,0.00000, 2.105691e-002,3.29860,1
  9.39600,0.00333, 1.802320e-002,3.29860,1
  9.40760,0.00667, 1.522876e-002,3.29860,1
  9.41943,0.01000, 1.246063e-002,3.29860,1
  9.43122,0.01333, 9.612739e-003,3.29860,1
  9.44300,0.01667, 6.818022e-003,3.29860,1
  9.45492,0.02000, 4.262572e-003,3.29860,1
  9.46720,0.02333, 1.733707e-003,3.29860,1
  9.48018,0.02667,-8.480566e-004,3.29860,1
  9.49395,0.03000,-3.377194e-003,3.29860,1
  9.50871,0.03333,-5.586493e-003,3.29860,1
  9.52443,0.03667,-7.876364e-003,3.29860,1
  9.54140,0.04000,-1.013965e-002,3.29860,1
  9.55967,0.04333,-1.234977e-002,3.29860,1
  9.57924,0.04667,-1.453357e-002,3.29860,1
  9.60023,0.05000,-1.661158e-002,3.29859,1
  9.62258,0.05333,-1.866273e-002,3.29859,1
  9.64617,0.05667,-2.068811e-002,3.29859,1
  9.67114,0.06000,-2.268636e-002,3.29859,1
  9.69744,0.06333,-2.465912e-002,3.29859,1
  9.72493,0.06667,-2.665846e-002,3.29859,1
  9.75365,0.07000,-2.873729e-002,3.29859,1
  9.78349,0.07333,-3.084379e-002,3.29859,1
  9.81443,0.07667,-3.297715e-002,3.29859,1
  9.84643,0.08000,-3.511024e-002,3.29859,1
  9.87935,0.08333,-3.732391e-002,3.29859,1
  9.91317,0.08667,-3.961787e-002,3.29859,1
  9.94785,0.09000,-4.193816e-002,3.29858,1
  9.98339,0.09333,-4.444508e-002,3.29858,1
 10.01968,0.09667,-4.695255e-002,3.29858,1
 10.05659,0.10000,-4.951319e-002,3.29858,1
 10.08664,0.10333,-5.218045e-002,3.29858,1
 10.11731,0.10667,-5.484825e-002,3.29858,1
 10.14856,0.11000,-5.751551e-002,3.29858,1
 10.18039,0.11333,-6.021017e-002,3.29858,1
 10.21282,0.11667,-6.290538e-002,3.29858,1
 10.24584,0.12000,-6.573325e-002,3.29858,1
 10.27946,0.12333,-6.850876e-002,3.29857,1
 10.31367,0.12667,-7.136376e-002,3.29857,1
 10.34851,0.13000,-7.429852e-002,3.29857,1
 10.38393,0.13333,-7.723383e-002,3.29857,1
 10.41998,0.13667,-8.022230e-002,3.29857,1
 10.45661,0.14000,-8.323818e-002,3.29857,1
 10.49384,0.14333,-8.641250e-002,3.29857,1
