#EXPORTTYPE:                 ,ALL                       
#FILE:                       ,¿‰’•2.ngb-sd7               
#FORMAT:                     ,NETZSCH5                  
#FTYPE:                      ,ANSI                      
#IDENTITY:                   ,2                         
#DECIMAL:                    ,POINT                     
#SEPARATOR:                  ,COMMA                     
#MTYPE:                      ,DSC                       
#INSTRUMENT:                 ,NETZSCH DSC 204F1 Phoenix 
#PROJECT:                    ,1                         
#DATE/TIME:                  ,2023/4/24 16:19:05 (UTC+8)
#CORR. FILE:                 ,                          
#TEMPCAL:                    ,applied                   
#SENSITIVITY:                ,applied                   
#LABORATORY:                 ,                          
#OPERATOR:                   ,0                         
#REMARK:                     ,                          
#SAMPLE:                     ,¿‰’•                        
#SAMPLE MASS /mg:            ,8.76                      
#MATERIAL:                   ,                          
#REFERENCE:                  ,                          
#REFERENCE MASS /mg:         ,0                         
#TYPE OF CRUCIBLE:           ,Concavus Pan Al, open     
#SAMPLE CRUCIBLE MASS /mg:   ,0                         
#REFERENCE CRUCIBLE MASS /mg:,0                         
#M.RANGE /¶ÃV:                ,5000                      
#TAU-R:                      ,---                       
#CORR. CODE:                 ,000                       
#EXO:                        ,+1                        
#RANGE:                      ,20°„C/10.0(K/min)/120°„C    
#SEGMENT:                    ,S1/1                      
#SEG. 1:                     ,20°„C/10.0(K/min)/120°„C    

#*RESULTS:     ,File,Segment,Result,Unit,Y_value,Unit ,Range_Xmin,Unit,Range_Xmax,Unit,Range_Ymin,Unit ,Range_Ymax,Unit 
#*Area (DSC)(o),¿‰’•2 ,1      ,-50.77,J/g ,-      ,-    ,42.3      ,°„C  ,112.2     ,°„C  ,-0.4249   ,mW/mg,-0.6664   ,mW/mg
#*Onset (DSC)  ,¿‰’•2 ,1      ,42.3  ,°„C  ,-0.4015,mW/mg,25.8      ,°„C  ,88.3      ,°„C  ,-0.3704   ,mW/mg,-0.7892   ,mW/mg
#*Peak (DSC)   ,¿‰’•2 ,1      ,90.1  ,°„C  ,-0.7905,mW/mg,25.8      ,°„C  ,102.0     ,°„C  ,-0.3704   ,mW/mg,-0.751    ,mW/mg
#*End (DSC)    ,¿‰’•2 ,1      ,112.2 ,°„C  ,-0.6679,mW/mg,91.0      ,°„C  ,119.9     ,°„C  ,-0.7903   ,mW/mg,-0.5908   ,mW/mg

##Temp./°„C,Time/min,DSC/(mW/mg),Sensit./(uV/mW),Segment
  7.85400,0.00000, 1.728615e-002,3.29862,1
  7.85467,0.00333, 1.559609e-002,3.29862,1
  7.85500,0.00667, 1.390629e-002,3.29862,1
  7.85557,0.01000, 1.229544e-002,3.29862,1
  7.85589,0.01333, 1.076434e-002,3.29862,1
  7.85673,0.01667, 9.285227e-003,3.29862,1
  7.85815,0.02000, 7.701047e-003,3.29862,1
  7.86000,0.02333, 6.196345e-003,3.29862,1
  7.86276,0.02667, 4.796445e-003,3.29862,1
  7.86642,0.03000, 3.317337e-003,3.29862,1
  7.87133,0.03333, 1.864901e-003,3.29862,1
  7.87757,0.03667, 3.855226e-004,3.29862,1
  7.88532,0.04000,-1.067723e-003,3.29862,1
  7.89463,0.04333,-2.573235e-003,3.29862,1
  7.90541,0.04667,-4.052883e-003,3.29862,1
  7.91777,0.05000,-5.665357e-003,3.29862,1
  7.93176,0.05333,-7.594127e-003,3.29862,1
  7.94737,0.05667,-9.497304e-003,3.29862,1
  7.96449,0.06000,-1.155863e-002,3.29862,1
  7.98308,0.06333,-1.412296e-002,3.29862,1
  8.00310,0.06667,-1.681877e-002,3.29862,1
  8.02449,0.07000,-1.959460e-002,3.29862,1
  8.04718,0.07333,-2.263473e-002,3.29862,1
  8.07111,0.07667,-2.593942e-002,3.29862,1
  8.09618,0.08000,-2.948202e-002,3.29862,1
  8.12241,0.08333,-3.326278e-002,3.29862,1
  8.14968,0.08667,-3.717530e-002,3.29862,1
  8.17793,0.09000,-4.127317e-002,3.29862,1
  8.20705,0.09333,-4.545079e-002,3.29862,1
  8.23700,0.09667,-4.983991e-002,3.29862,1
  8.26772,0.10000,-5.422929e-002,3.29862,1
  8.29043,0.10333,-5.880404e-002,3.29862,1
  8.31379,0.10667,-6.374871e-002,3.29862,1
  8.33787,0.11000,-6.858830e-002,3.29862,1
  8.36264,0.11333,-7.337481e-002,3.29862,1
  8.38811,0.11667,-7.810880e-002,3.29862,1
  8.41428,0.12000,-8.289639e-002,3.29862,1
  8.44111,0.12333,-8.757811e-002,3.29862,1
  8.46870,0.12667,-9.239211e-002,3.29862,1
  8.49695,0.13000,-9.733841e-002,3.29862,1
  8.52589,0.13333,      -0.10221,3.29862,1
  8.55551,0.13667,      -0.10705,3.29862,1
  8.58584,0.14000,      -0.11176,3.29861,1
  8.61680,0.14333,      -0.11649,3.29861,1
