#EXPORTTYPE:                 ,ALL                       
#FILE:                       ,常规1.ngb-sd7               
#FORMAT:                     ,NETZSCH5                  
#FTYPE:                      ,ANSI                      
#IDENTITY:                   ,1                         
#DECIMAL:                    ,POINT                     
#SEPARATOR:                  ,COMMA                     
#MTYPE:                      ,DSC                       
#INSTRUMENT:                 ,NETZSCH DSC 204F1 Phoenix 
#PROJECT:                    ,1                         
#DATE/TIME:                  ,2023/4/24 14:46:10 (UTC+8)
#CORR. FILE:                 ,                          
#TEMPCAL:                    ,applied                   
#SENSITIVITY:                ,applied                   
#LABORATORY:                 ,                          
#OPERATOR:                   ,0                         
#REMARK:                     ,                          
#SAMPLE:                     ,常规                        
#SAMPLE MASS /mg:            ,8.97                      
#MATERIAL:                   ,                          
#REFERENCE:                  ,                          
#REFERENCE MASS /mg:         ,0                         
#TYPE OF CRUCIBLE:           ,Concavus Pan Al, open     
#SAMPLE CRUCIBLE MASS /mg:   ,0                         
#REFERENCE CRUCIBLE MASS /mg:,0                         
#M.RANGE /μV:                ,5000                      
#TAU-R:                      ,---                       
#CORR. CODE:                 ,000                       
#EXO:                        ,+1                        
#RANGE:                      ,20°C/10.0(K/min)/120°C    
#SEGMENT:                    ,S1/1                      
#SEG. 1:                     ,20°C/10.0(K/min)/120°C    

#*RESULTS:     ,File,Segment,Result,Unit,Y_value,Unit ,Range_Xmin,Unit,Range_Xmax,Unit,Range_Ymin,Unit ,Range_Ymax,Unit 
#*Area (DSC)(o),常规1 ,1      ,-47.42,J/g ,-      ,-    ,45.1      ,°C  ,103.7     ,°C  ,-0.3838   ,mW/mg,-0.6255   ,mW/mg
#*Onset (DSC)  ,常规1 ,1      ,45.1  ,°C  ,-0.3585,mW/mg,24.3      ,°C  ,79.7      ,°C  ,-0.2849   ,mW/mg,-0.7252   ,mW/mg
#*Peak (DSC)   ,常规1 ,1      ,81.1  ,°C  ,-0.7263,mW/mg,35.9      ,°C  ,104.0     ,°C  ,-0.3274   ,mW/mg,-0.6231   ,mW/mg
#*End (DSC)    ,常规1 ,1      ,103.7 ,°C  ,-0.6343,mW/mg,81.6      ,°C  ,119.9     ,°C  ,-0.7262   ,mW/mg,-0.4883   ,mW/mg

##Temp./°C,Time/min,DSC/(mW/mg),Sensit./(uV/mW),Segment
 19.88900,0.00000,-4.455096e-002,3.29775,1
 19.88967,0.00333,-4.452517e-002,3.29775,1
 19.89000,0.00667,-4.455149e-002,3.29775,1
 19.89000,0.01000,-4.455123e-002,3.29775,1
 19.89000,0.01333,-4.452570e-002,3.29775,1
 19.89018,0.01667,-4.449991e-002,3.29775,1
 19.89046,0.02000,-4.447359e-002,3.29775,1
 19.89107,0.02333,-4.444807e-002,3.29775,1
 19.89218,0.02667,-4.444807e-002,3.29775,1
 19.89405,0.03000,-4.442254e-002,3.29775,1
 19.89676,0.03333,-4.439676e-002,3.29775,1
 19.90048,0.03667,-4.437124e-002,3.29775,1
 19.90528,0.04000,-4.439704e-002,3.29775,1
 19.91137,0.04333,-4.462970e-002,3.29775,1
 19.91876,0.04667,-4.493974e-002,3.29775,1
 19.92739,0.05000,-4.579168e-002,3.29775,1
 19.93736,0.05333,-4.666941e-002,3.29774,1
 19.94869,0.05667,-4.777979e-002,3.29774,1
 19.96122,0.06000,-4.932891e-002,3.29774,1
 19.97500,0.06333,-5.118753e-002,3.29774,1
 19.99000,0.06667,-5.361384e-002,3.29774,1
 20.00616,0.07000,-5.629859e-002,3.29773,1
 20.02347,0.07333,-5.944761e-002,3.29773,1
 20.04179,0.07667,-6.285509e-002,3.29773,1
 20.06106,0.08000,-6.654628e-002,3.29773,1
 20.08133,0.08333,-7.041907e-002,3.29772,1
 20.10253,0.08667,-7.478141e-002,3.29772,1
 20.12455,0.09000,-7.942825e-002,3.29772,1
 20.14737,0.09333,-8.415274e-002,3.29771,1
 20.17092,0.09667,-8.895436e-002,3.29771,1
 20.19518,0.10000,-9.393732e-002,3.29771,1
 20.21279,0.10333,-9.912687e-002,3.29771,1
 20.23095,0.10667,      -0.10439,3.29770,1
 20.24967,0.11000,      -0.10987,3.29770,1
 20.26895,0.11333,      -0.11516,3.29770,1
 20.28880,0.11667,      -0.12053,3.29769,1
 20.30926,0.12000,      -0.12621,3.29769,1
 20.33030,0.12333,      -0.13179,3.29769,1
 20.35190,0.12667,      -0.13734,3.29769,1
 20.37410,0.13000,      -0.14271,3.29768,1
 20.39687,0.13333,      -0.14803,3.29768,1
 20.42020,0.13667,      -0.15325,3.29768,1
 20.44411,0.14000,      -0.15832,3.29767,1
