#EXPORTTYPE:                 ,ALL                       
#FILE:                       ,常规2.ngb-sd7               
#FORMAT:                     ,NETZSCH5                  
#FTYPE:                      ,ANSI                      
#IDENTITY:                   ,2                         
#DECIMAL:                    ,POINT                     
#SEPARATOR:                  ,COMMA                     
#MTYPE:                      ,DSC                       
#INSTRUMENT:                 ,NETZSCH DSC 204F1 Phoenix 
#PROJECT:                    ,1                         
#DATE/TIME:                  ,2023/4/24 15:14:12 (UTC+8)
#CORR. FILE:                 ,                          
#TEMPCAL:                    ,applied                   
#SENSITIVITY:                ,applied                   
#LABORATORY:                 ,                          
#OPERATOR:                   ,0                         
#REMARK:                     ,                          
#SAMPLE:                     ,常规                        
#SAMPLE MASS /mg:            ,8.49                      
#MATERIAL:                   ,                          
#REFERENCE:                  ,                          
#REFERENCE MASS /mg:         ,0                         
#TYPE OF CRUCIBLE:           ,Concavus Pan Al, open     
#SAMPLE CRUCIBLE MASS /mg:   ,0                         
#REFERENCE CRUCIBLE MASS /mg:,0                         
#M.RANGE /μV:                ,5000                      
#TAU-R:                      ,---                       
#CORR. CODE:                 ,000                       
#EXO:                        ,+1                        
#RANGE:                      ,20°C/10.0(K/min)/120°C    
#SEGMENT:                    ,S1/1                      
#SEG. 1:                     ,20°C/10.0(K/min)/120°C    

#*RESULTS:     ,File,Segment,Result,Unit,Y_value,Unit ,Range_Xmin,Unit,Range_Xmax,Unit,Range_Ymin,Unit ,Range_Ymax,Unit 
#*Area (DSC)(o),常规2 ,1      ,-51.25,J/g ,-      ,-    ,44.4      ,°C  ,115.2     ,°C  ,-0.2609   ,mW/mg,-0.4539   ,mW/mg
#*Onset (DSC)  ,常规2 ,1      ,44.4  ,°C  ,-0.2548,mW/mg,35.9      ,°C  ,86.2      ,°C  ,-0.209    ,mW/mg,-0.5754   ,mW/mg
#*Peak (DSC)   ,常规2 ,1      ,87.7  ,°C  ,-0.5759,mW/mg,35.9      ,°C  ,104.0     ,°C  ,-0.209    ,mW/mg,-0.5238   ,mW/mg
#*End (DSC)    ,常规2 ,1      ,115.2 ,°C  ,-0.454 ,mW/mg,88.1      ,°C  ,120.0     ,°C  ,-0.5755   ,mW/mg,-0.4175   ,mW/mg

##Temp./°C,Time/min,DSC/(mW/mg),Sensit./(uV/mW),Segment
 19.85800,0.00000,-5.894199e-002,3.29776,1
 19.85867,0.00333,-5.891501e-002,3.29775,1
 19.85880,0.00667,-5.888776e-002,3.29775,1
 19.85929,0.01000,-5.886052e-002,3.29775,1
 19.85967,0.01333,-5.883327e-002,3.29775,1
 19.86000,0.01667,-5.883383e-002,3.29775,1
 19.86038,0.02000,-5.883355e-002,3.29775,1
 19.86107,0.02333,-5.880630e-002,3.29775,1
 19.86235,0.02667,-5.880686e-002,3.29775,1
 19.86426,0.03000,-5.869759e-002,3.29775,1
 19.86705,0.03333,-5.861612e-002,3.29775,1
 19.87083,0.03667,-5.853438e-002,3.29775,1
 19.87560,0.04000,-5.842567e-002,3.29775,1
 19.88174,0.04333,-5.809897e-002,3.29775,1
 19.88907,0.04667,-5.763658e-002,3.29775,1
 19.89774,0.05000,-5.714721e-002,3.29775,1
 19.90776,0.05333,-5.646654e-002,3.29775,1
 19.91914,0.05667,-5.556872e-002,3.29775,1
 19.93184,0.06000,-5.453464e-002,3.29774,1
 19.94569,0.06333,-5.325560e-002,3.29774,1
 19.96083,0.06667,-5.159589e-002,3.29774,1
 19.97714,0.07000,-4.974543e-002,3.29774,1
 19.99453,0.07333,-4.797617e-002,3.29774,1
 20.01294,0.07667,-4.604424e-002,3.29773,1
 20.03237,0.08000,-4.384065e-002,3.29773,1
 20.05273,0.08333,-4.141933e-002,3.29773,1
 20.07396,0.08667,-3.897104e-002,3.29773,1
 20.09609,0.09000,-3.641318e-002,3.29772,1
 20.11898,0.09333,-3.374772e-002,3.29772,1
 20.14264,0.09667,-3.097325e-002,3.29772,1
 20.16695,0.10000,-2.819850e-002,3.29771,1
 20.18464,0.10333,-2.539732e-002,3.29771,1
 20.20289,0.10667,-2.256944e-002,3.29771,1
 20.22170,0.11000,-1.971459e-002,3.29770,1
 20.24107,0.11333,-1.685890e-002,3.29770,1
 20.26098,0.11667,-1.408634e-002,3.29770,1
 20.28146,0.12000,-1.136801e-002,3.29770,1
 20.30254,0.12333,-8.730863e-003,3.29769,1
 20.32420,0.12667,-6.231636e-003,3.29769,1
 20.34639,0.13000,-4.004630e-003,3.29769,1
 20.36918,0.13333,-1.831842e-003,3.29768,1
 20.39256,0.13667, 2.311129e-004,3.29768,1
