#EXPORTTYPE:                 ,ALL                       
#FILE:                       ,常规3.ngb-sd7               
#FORMAT:                     ,NETZSCH5                  
#FTYPE:                      ,ANSI                      
#IDENTITY:                   ,3                         
#DECIMAL:                    ,POINT                     
#SEPARATOR:                  ,COMMA                     
#MTYPE:                      ,DSC                       
#INSTRUMENT:                 ,NETZSCH DSC 204F1 Phoenix 
#PROJECT:                    ,1                         
#DATE/TIME:                  ,2023/4/24 15:41:47 (UTC+8)
#CORR. FILE:                 ,                          
#TEMPCAL:                    ,applied                   
#SENSITIVITY:                ,applied                   
#LABORATORY:                 ,                          
#OPERATOR:                   ,0                         
#REMARK:                     ,                          
#SAMPLE:                     ,常规                        
#SAMPLE MASS /mg:            ,7.97                      
#MATERIAL:                   ,                          
#REFERENCE:                  ,                          
#REFERENCE MASS /mg:         ,0                         
#TYPE OF CRUCIBLE:           ,Concavus Pan Al, open     
#SAMPLE CRUCIBLE MASS /mg:   ,0                         
#REFERENCE CRUCIBLE MASS /mg:,0                         
#M.RANGE /μV:                ,5000                      
#TAU-R:                      ,---                       
#CORR. CODE:                 ,000                       
#EXO:                        ,+1                        
#RANGE:                      ,20°C/10.0(K/min)/120°C    
#SEGMENT:                    ,S1/1                      
#SEG. 1:                     ,20°C/10.0(K/min)/120°C    

#*RESULTS:     ,File,Segment,Result,Unit,Y_value,Unit ,Range_Xmin,Unit,Range_Xmax,Unit,Range_Ymin,Unit ,Range_Ymax,Unit 
#*Area (DSC)(o),常规3 ,1      ,-65.23,J/g ,-      ,-    ,44.2      ,°C  ,120.0     ,°C  ,-0.2975   ,mW/mg,-0.4353   ,mW/mg
#*Onset (DSC)  ,常规3 ,1      ,44.2  ,°C  ,-0.2894,mW/mg,35.9      ,°C  ,84.1      ,°C  ,-0.244    ,mW/mg,-0.6113   ,mW/mg
#*Peak (DSC)   ,常规3 ,1      ,85.3  ,°C  ,-0.6121,mW/mg,35.9      ,°C  ,104.0     ,°C  ,-0.244    ,mW/mg,-0.5501   ,mW/mg
#*End (DSC)    ,常规3 ,1      ,120.2 ,°C  ,-0.4346,mW/mg,86.3      ,°C  ,119.9     ,°C  ,-0.6119   ,mW/mg,-0.436    ,mW/mg

##Temp./°C,Time/min,DSC/(mW/mg),Sensit./(uV/mW),Segment
 19.86100,0.00000,-5.370284e-002,3.29775,1
 19.86133,0.00333,-5.373187e-002,3.29775,1
 19.86160,0.00667,-5.373217e-002,3.29775,1
 19.86200,0.01000,-5.373217e-002,3.29775,1
 19.86233,0.01333,-5.379023e-002,3.29775,1
 19.86264,0.01667,-5.381955e-002,3.29775,1
 19.86300,0.02000,-5.384858e-002,3.29775,1
 19.86360,0.02333,-5.387791e-002,3.29775,1
 19.86471,0.02667,-5.387761e-002,3.29775,1
 19.86653,0.03000,-5.381986e-002,3.29775,1
 19.86943,0.03333,-5.373278e-002,3.29775,1
 19.87339,0.03667,-5.358765e-002,3.29775,1
 19.87844,0.04000,-5.350117e-002,3.29775,1
 19.88467,0.04333,-5.335605e-002,3.29775,1
 19.89214,0.04667,-5.324084e-002,3.29775,1
 19.90100,0.05000,-5.315437e-002,3.29775,1
 19.91115,0.05333,-5.303947e-002,3.29775,1
 19.92254,0.05667,-5.295360e-002,3.29775,1
 19.93524,0.06000,-5.283930e-002,3.29774,1
 19.94918,0.06333,-5.269627e-002,3.29774,1
 19.96439,0.06667,-5.261218e-002,3.29774,1
 19.98074,0.07000,-5.267265e-002,3.29774,1
 19.99820,0.07333,-5.287885e-002,3.29774,1
 20.01677,0.07667,-5.308536e-002,3.29773,1
 20.03631,0.08000,-5.346603e-002,3.29773,1
 20.05682,0.08333,-5.387632e-002,3.29773,1
 20.07819,0.08667,-5.449041e-002,3.29772,1
 20.10042,0.09000,-5.510421e-002,3.29772,1
 20.12347,0.09333,-5.569016e-002,3.29772,1
 20.14720,0.09667,-5.630515e-002,3.29771,1
 20.17166,0.10000,-5.703655e-002,3.29771,1
 20.18943,0.10333,-5.794241e-002,3.29771,1
 20.20777,0.10667,-5.899311e-002,3.29771,1
 20.22666,0.11000,-5.998664e-002,3.29770,1
 20.24615,0.11333,-6.097989e-002,3.29770,1
 20.26620,0.11667,-6.197432e-002,3.29770,1
 20.28680,0.12000,-6.299719e-002,3.29769,1
 20.30797,0.12333,-6.419483e-002,3.29769,1
 20.32970,0.12667,-6.553791e-002,3.29769,1
 20.35205,0.13000,-6.691061e-002,3.29769,1
 20.37495,0.13333,-6.822467e-002,3.29768,1
 20.39844,0.13667,-6.951031e-002,3.29768,1
 20.42251,0.14000,-7.085400e-002,3.29768,1
 20.44713,0.14333,-7.225575e-002,3.29767,1
 20.47233,0.14667,-7.362937e-002,3.29767,1
 20.49807,0.15000,-7.529298e-002,3.29766,1
 20.52439,0.15333,-7.704399e-002,3.29766,1
 20.55120,0.15667,-7.870732e-002,3.29766,1
 20.57852,0.16000,-8.022669e-002,3.29765,1
 20.60636,0.16333,-8.165870e-002,3.29765,1
 20.63466,0.16667,-8.323556e-002,3.29764,1
 20.66338,0.17000,-8.489980e-002,3.29764,1
 20.69254,0.17333,-8.670919e-002,3.29764,1
 20.72211,0.17667,-8.843180e-002,3.29763,1
 20.75210,0.18000,-9.015501e-002,3.29763,1
 20.78251,0.18333,-9.181987e-002,3.29762,1
 20.81330,0.18667,-9.357153e-002,3.29762,1
 20.84443,0.19000,-9.535222e-002,3.29761,1
 20.87590,0.19333,-9.704584e-002,3.29761,1
 20.90767,0.19667,-9.876938e-002,3.29760,1
 20.93974,0.20000,      -0.10046,3.29760,1
 20.97210,0.20333,      -0.10216,3.29759,1
 21.00469,0.20667,      -0.10385,3.29759,1
 21.03756,0.21000,      -0.10555,3.29758,1
 21.07067,0.21333,      -0.10730,3.29758,1
 21.10398,0.21667,      -0.10908,3.29757,1
 21.13751,0.22000,      -0.11080,3.29757,1
 21.17125,0.22333,      -0.11253,3.29756,1
 21.20516,0.22667,      -0.11425,3.29756,1
 21.23923,0.23000,      -0.11600,3.29755,1
 21.27341,0.23333,      -0.11770,3.29755,1
 21.30775,0.23667,      -0.11933,3.29754,1
 21.34223,0.24000,      -0.12097,3.29754,1
