Wavelength data table
Sample name	250.0nm	300.0nm	350.0nm	400.0nm	450.0nm	500.0nm	550.0nm	600.0nm	650.0nm	700.0nm	750.0nm	800.0nm	
'PIM(EM)		123.1	451.5	98.23								

Sample:	'PIM(EM)
File name:	PIM-6.FDS
Run date:	'15:54:09, 01/18/2024
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial number:	2822-002
ROM Version:	5J14000 12

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	285.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	400.0 nm
Scan speed:	1200 nm/min
Delay:	0.1 s
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	400 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On

Peak integration
Integration method:	Rectangular
Sensitivity:	2
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	300.0	341.4	400.0	473.3	400.0	98.23

Data points
nm	Data
300.0	123.1
300.2	122.8
300.4	123.5
300.6	124.4
300.8	126.2
301.0	127.6
301.2	129.5
301.4	131.4
301.6	132.9
301.8	134.3
302.0	136.7
302.2	138.5
302.4	140.9
302.6	142.8
302.8	144.7
303.0	146.5
303.2	148.2
303.4	150.1
303.6	152.3
303.8	154.3
304.0	156.0
304.2	157.8
304.4	159.7
304.6	161.3
304.8	163.3
305.0	164.7
305.2	166.3
305.4	168.0
305.6	169.6
305.8	170.9
306.0	172.8
306.2	174.0
306.4	176.1
306.6	178.2
306.8	180.0
307.0	181.8
307.2	184.0
307.4	185.9
307.6	187.9
307.8	190.0
308.0	191.9
308.2	193.9
308.4	195.6
308.6	197.7
308.8	199.5
309.0	201.0
309.2	203.5
309.4	205.2
309.6	207.5
309.8	209.2
310.0	211.6
310.2	213.2
310.4	215.4
310.6	217.1
310.8	219.1
311.0	221.0
311.2	222.3
311.4	224.4
311.6	226.0
311.8	228.1
312.0	230.1
312.2	232.8
312.4	235.2
312.6	237.1
312.8	239.4
313.0	241.4
313.2	243.3
313.4	246.4
313.6	249.5
313.8	251.6
314.0	254.0
314.2	256.2
314.4	259.0
314.6	260.8
314.8	263.2
315.0	265.3
315.2	267.5
315.4	269.8
315.6	271.8
315.8	274.1
316.0	276.9
316.2	278.3
316.4	280.3
316.6	283.1
316.8	285.2
317.0	287.0
317.2	289.7
317.4	291.2
317.6	293.9
317.8	294.9
318.0	297.3
318.2	299.2
318.4	301.0
318.6	302.6
318.8	305.0
319.0	307.0
319.2	309.7
319.4	310.9
319.6	313.5
319.8	315.1
320.0	316.9
320.2	318.9
320.4	321.3
320.6	323.3
320.8	325.0
321.0	327.7
321.2	329.6
321.4	331.5
321.6	332.8
321.8	334.5
322.0	337.3
322.2	338.6
322.4	341.4
322.6	343.4
322.8	344.6
323.0	346.6
323.2	349.1
323.4	350.8
323.6	352.0
323.8	354.2
324.0	355.7
324.2	357.4
324.4	359.7
324.6	362.1
324.8	363.9
325.0	365.2
325.2	367.5
325.4	369.1
325.6	370.3
325.8	371.6
326.0	373.9
326.2	376.1
326.4	378.9
326.6	381.5
326.8	383.6
327.0	385.3
327.2	386.7
327.4	388.9
327.6	391.2
327.8	392.4
328.0	394.7
328.2	396.7
328.4	398.6
328.6	400.1
328.8	402.5
329.0	403.5
329.2	404.2
329.4	406.2
329.6	408.1
329.8	410.0
330.0	412.0
330.2	413.9
330.4	415.1
330.6	417.2
330.8	419.0
331.0	421.0
331.2	422.4
331.4	423.7
331.6	424.8
331.8	426.7
332.0	428.8
332.2	430.2
332.4	432.5
332.6	434.0
332.8	435.0
333.0	435.9
333.2	437.7
333.4	439.9
333.6	442.1
333.8	442.9
334.0	444.1
334.2	445.5
334.4	446.2
334.6	447.2
334.8	448.6
335.0	449.5
335.2	451.2
335.4	453.3
335.6	453.4
335.8	454.4
336.0	455.3
336.2	456.4
336.4	457.0
336.6	458.4
336.8	459.2
337.0	460.0
337.2	460.8
337.4	462.6
337.6	463.5
337.8	465.1
338.0	465.0
338.2	465.7
338.4	465.1
338.6	466.5
338.8	467.2
339.0	468.9
339.2	469.1
339.4	469.5
339.6	469.2
339.8	469.1
340.0	470.2
340.2	470.8
340.4	471.0
340.6	471.5
340.8	471.6
341.0	472.3
341.2	472.6
341.4	473.3
341.6	472.7
341.8	472.5
342.0	472.1
342.2	472.8
342.4	472.5
342.6	473.0
342.8	472.6
343.0	472.6
343.2	471.5
343.4	471.3
343.6	471.9
343.8	472.2
344.0	471.5
344.2	471.4
344.4	470.9
344.6	469.6
344.8	468.4
345.0	469.0
345.2	468.9
345.4	468.4
345.6	467.2
345.8	467.8
346.0	468.3
346.2	467.8
346.4	467.0
346.6	466.5
346.8	464.4
347.0	464.4
347.2	462.7
347.4	462.1
347.6	461.6
347.8	460.5
348.0	459.9
348.2	459.3
348.4	458.3
348.6	457.6
348.8	457.0
349.0	456.1
349.2	455.3
349.4	454.6
349.6	453.3
349.8	452.8
350.0	451.5
350.2	450.5
350.4	449.1
350.6	448.2
350.8	446.8
351.0	444.7
351.2	443.2
351.4	442.1
351.6	440.7
351.8	440.4
352.0	438.6
352.2	437.6
352.4	437.1
352.6	435.3
352.8	434.2
353.0	433.7
353.2	432.4
353.4	431.2
353.6	429.0
353.8	427.7
354.0	425.7
354.2	423.9
354.4	423.5
354.6	422.2
354.8	420.4
355.0	419.1
355.2	416.8
355.4	415.4
355.6	414.3
355.8	411.8
356.0	409.8
356.2	408.6
356.4	406.2
356.6	404.9
356.8	402.9
357.0	401.8
357.2	399.8
357.4	398.6
357.6	397.5
357.8	396.0
358.0	393.6
358.2	392.8
358.4	390.1
358.6	389.8
358.8	387.2
359.0	386.0
359.2	384.4
359.4	382.5
359.6	380.3
359.8	378.6
360.0	376.9
360.2	376.0
360.4	374.1
360.6	371.9
360.8	370.7
361.0	368.9
361.2	366.4
361.4	364.5
361.6	362.7
361.8	360.3
362.0	358.7
362.2	357.1
362.4	356.0
362.6	354.6
362.8	352.6
363.0	350.5
363.2	348.3
363.4	345.9
363.6	344.9
363.8	343.9
364.0	341.9
364.2	338.6
364.4	336.7
364.6	335.3
364.8	333.4
365.0	332.1
365.2	330.1
365.4	328.4
365.6	327.5
365.8	325.2
366.0	323.6
366.2	321.4
366.4	320.5
366.6	318.3
366.8	316.7
367.0	315.4
367.2	314.1
367.4	311.7
367.6	309.8
367.8	307.1
368.0	305.4
368.2	303.2
368.4	301.5
368.6	299.5
368.8	297.5
369.0	294.7
369.2	292.5
369.4	291.4
369.6	289.9
369.8	288.7
370.0	287.0
370.2	284.9
370.4	283.6
370.6	282.2
370.8	279.8
371.0	277.8
371.2	275.9
371.4	273.7
371.6	271.9
371.8	270.8
372.0	270.1
372.2	268.9
372.4	267.8
372.6	265.6
372.8	263.2
373.0	261.7
373.2	260.3
373.4	258.6
373.6	257.4
373.8	255.4
374.0	253.7
374.2	251.7
374.4	249.3
374.6	247.7
374.8	246.5
375.0	244.7
375.2	243.2
375.4	241.7
375.6	239.9
375.8	237.8
376.0	236.4
376.2	234.8
376.4	232.9
376.6	230.9
376.8	228.9
377.0	227.6
377.2	226.1
377.4	225.0
377.6	223.3
377.8	221.9
378.0	220.6
378.2	219.1
378.4	218.0
378.6	216.4
378.8	214.5
379.0	213.0
379.2	211.3
379.4	209.6
379.6	208.4
379.8	207.0
380.0	205.9
380.2	204.5
380.4	203.1
380.6	201.2
380.8	200.0
381.0	198.1
381.2	197.0
381.4	195.6
381.6	193.8
381.8	192.2
382.0	190.8
382.2	189.9
382.4	188.8
382.6	187.6
382.8	186.2
383.0	184.8
383.2	183.2
383.4	182.0
383.6	181.2
383.8	179.6
384.0	178.3
384.2	177.1
384.4	175.6
384.6	174.7
384.8	173.4
385.0	171.8
385.2	170.5
385.4	169.0
385.6	167.7
385.8	166.7
386.0	165.5
386.2	164.8
386.4	163.6
386.6	162.2
386.8	161.2
387.0	159.9
387.2	159.0
387.4	157.4
387.6	156.3
387.8	155.2
388.0	154.3
388.2	153.0
388.4	151.3
388.6	150.0
388.8	149.2
389.0	148.3
389.2	147.4
389.4	146.0
389.6	144.6
389.8	143.8
390.0	142.5
390.2	141.6
390.4	140.5
390.6	139.4
390.8	138.7
391.0	137.7
391.2	136.6
391.4	135.6
391.6	134.5
391.8	133.1
392.0	131.7
392.2	131.3
392.4	130.5
392.6	129.4
392.8	128.4
393.0	127.6
393.2	126.5
393.4	125.5
393.6	124.6
393.8	123.4
394.0	122.8
394.2	121.8
394.4	121.0
394.6	120.0
394.8	119.1
395.0	118.0
395.2	117.3
395.4	116.8
395.6	115.8
395.8	115.0
396.0	114.2
396.2	113.2
396.4	112.7
396.6	111.6
396.8	110.2
397.0	109.4
397.2	109.0
397.4	108.4
397.6	107.6
397.8	106.5
398.0	106.0
398.2	104.9
398.4	104.2
398.6	102.9
398.8	102.1
399.0	101.7
399.2	100.9
399.4	99.73
399.6	99.00
399.8	98.87
400.0	98.23

