Wavelength data table
Sample name	250.0nm	300.0nm	350.0nm	400.0nm	450.0nm	500.0nm	550.0nm	600.0nm	650.0nm	700.0nm	750.0nm	800.0nm	
'PPI-INU(EM)		160.0	553.2	113.8								

Sample:	'PPI-INU(EM)
File name:	PPI-INU-5.FDS
Run date:	'15:25:45, 01/18/2024
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial number:	2822-002
ROM Version:	5J14000 12

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	285.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	400.0 nm
Scan speed:	1200 nm/min
Delay:	0.1 s
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	400 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On

Peak integration
Integration method:	Rectangular
Sensitivity:	2
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	300.0	341.4	400.0	594.2	400.0	113.8

Data points
nm	Data
300.0	160.0
300.2	160.8
300.4	161.8
300.6	163.4
300.8	165.2
301.0	167.4
301.2	169.8
301.4	172.2
301.6	174.4
301.8	176.3
302.0	178.8
302.2	181.0
302.4	183.9
302.6	185.9
302.8	188.4
303.0	191.1
303.2	193.5
303.4	195.8
303.6	199.1
303.8	201.9
304.0	205.1
304.2	207.3
304.4	209.7
304.6	212.4
304.8	215.2
305.0	217.9
305.2	221.0
305.4	223.2
305.6	226.3
305.8	229.0
306.0	231.5
306.2	233.4
306.4	236.4
306.6	239.0
306.8	241.7
307.0	244.1
307.2	246.9
307.4	248.5
307.6	251.2
307.8	253.0
308.0	255.4
308.2	258.3
308.4	261.4
308.6	263.9
308.8	267.1
309.0	269.0
309.2	272.0
309.4	274.1
309.6	276.6
309.8	279.5
310.0	281.8
310.2	285.6
310.4	288.2
310.6	289.8
310.8	293.2
311.0	295.9
311.2	299.5
311.4	301.5
311.6	304.9
311.8	307.7
312.0	311.7
312.2	314.4
312.4	317.5
312.6	320.5
312.8	323.7
313.0	326.6
313.2	330.1
313.4	332.7
313.6	335.5
313.8	338.6
314.0	341.9
314.2	345.0
314.4	348.8
314.6	351.3
314.8	353.7
315.0	356.6
