Wavelength data table
Sample name	250.0nm	300.0nm	350.0nm	400.0nm	450.0nm	500.0nm	550.0nm	600.0nm	650.0nm	700.0nm	750.0nm	800.0nm	
'PPI(EM)		19.11	121.3	46.78								

Sample:	'PPI(EM)
File name:	PPI-1.FDS
Run date:	'15:57:22, 01/18/2024
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial number:	2822-002
ROM Version:	5J14000 12

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	285.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	400.0 nm
Scan speed:	1200 nm/min
Delay:	0.1 s
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	400 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On

Peak integration
Integration method:	Rectangular
Sensitivity:	2
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	300.0	354.8	400.0	126.4	400.0	46.78

Data points
nm	Data
300.0	19.11
300.2	19.17
300.4	19.14
300.6	19.31
300.8	19.41
301.0	19.92
301.2	19.98
301.4	20.01
301.6	20.07
301.8	20.18
302.0	20.26
302.2	20.62
302.4	20.73
302.6	20.91
302.8	21.33
303.0	21.44
303.2	21.63
303.4	21.79
303.6	21.74
303.8	22.03
304.0	22.14
304.2	22.27
304.4	22.36
304.6	22.59
304.8	22.61
305.0	22.70
305.2	22.80
305.4	23.02
305.6	23.16
305.8	23.16
306.0	23.33
306.2	23.39
306.4	23.39
306.6	23.52
306.8	23.71
307.0	23.87
307.2	24.05
307.4	24.21
307.6	24.22
307.8	24.36
308.0	24.53
308.2	24.72
308.4	24.85
308.6	25.10
308.8	25.27
309.0	25.23
309.2	25.45
309.4	25.53
309.6	25.54
309.8	25.75
310.0	26.03
310.2	26.20
310.4	26.32
310.6	26.46
310.8	26.64
311.0	26.76
311.2	26.81
311.4	27.00
311.6	27.19
311.8	27.20
312.0	27.38
312.2	27.57
312.4	27.67
312.6	27.90
312.8	28.01
313.0	28.27
313.2	28.34
313.4	28.49
313.6	28.93
313.8	29.20
314.0	29.55
314.2	29.89
314.4	30.11
314.6	30.28
314.8	30.45
315.0	30.61
315.2	30.95
315.4	31.36
315.6	31.60
315.8	31.67
316.0	31.98
316.2	31.96
316.4	32.25
316.6	32.43
316.8	32.83
317.0	32.93
317.2	33.44
317.4	33.83
317.6	34.09
317.8	34.21
318.0	34.47
318.2	34.83
318.4	34.99
318.6	35.30
318.8	35.63
319.0	35.67
319.2	35.80
319.4	36.11
319.6	36.45
319.8	36.75
320.0	37.14
320.2	37.45
320.4	37.60
320.6	38.09
320.8	38.37
321.0	38.77
321.2	39.21
321.4	39.46
321.6	40.05
321.8	40.23
322.0	41.09
322.2	41.51
322.4	41.91
322.6	42.17
322.8	42.43
323.0	42.85
323.2	43.26
323.4	43.58
323.6	44.23
323.8	44.39
324.0	44.80
324.2	45.21
324.4	45.66
324.6	45.95
324.8	46.57
325.0	46.80
325.2	47.47
325.4	47.84
325.6	48.33
325.8	48.74
326.0	49.53
326.2	49.87
326.4	50.35
326.6	50.60
326.8	50.98
327.0	51.58
327.2	52.48
327.4	52.92
327.6	53.89
327.8	54.21
328.0	54.74
328.2	55.18
328.4	56.16
328.6	56.91
328.8	57.50
329.0	58.13
329.2	58.58
329.4	59.05
329.6	59.58
329.8	60.37
330.0	61.06
330.2	61.47
330.4	62.06
330.6	62.55
330.8	63.25
331.0	64.00
331.2	64.56
331.4	65.28
331.6	66.11
331.8	66.85
332.0	67.61
332.2	68.26
332.4	68.80
332.6	69.46
332.8	70.09
333.0	71.17
333.2	71.57
333.4	72.23
333.6	73.01
333.8	73.76
334.0	74.16
334.2	75.09
334.4	75.82
334.6	76.36
334.8	77.28
335.0	77.76
335.2	78.42
335.4	79.27
335.6	79.89
335.8	80.47
336.0	81.40
336.2	82.06
336.4	82.69
336.6	83.29
336.8	84.09
337.0	85.19
337.2	86.24
337.4	86.83
337.6	87.34
337.8	88.18
338.0	88.96
338.2	89.86
338.4	90.56
338.6	91.52
338.8	92.45
339.0	92.75
339.2	94.00
339.4	94.63
339.6	95.10
339.8	95.96
340.0	96.44
340.2	97.02
340.4	97.64
340.6	98.19
340.8	98.97
341.0	99.43
341.2	99.85
341.4	100.6
341.6	101.0
341.8	101.5
342.0	102.0
342.2	102.8
342.4	103.7
342.6	104.4
342.8	105.1
343.0	105.7
343.2	105.9
343.4	106.8
343.6	107.5
343.8	108.4
344.0	108.9
344.2	109.4
344.4	110.1
344.6	110.6
344.8	110.8
345.0	111.6
345.2	112.0
345.4	112.4
345.6	113.0
345.8	113.6
346.0	113.9
346.2	114.5
346.4	115.1
346.6	115.2
346.8	115.4
347.0	115.5
347.2	116.0
347.4	116.0
347.6	116.9
347.8	117.5
348.0	118.4
348.2	118.6
348.4	118.5
348.6	119.4
348.8	119.8
349.0	120.1
349.2	119.9
349.4	120.4
349.6	120.9
349.8	121.1
350.0	121.3
350.2	121.6
350.4	121.4
350.6	121.9
350.8	122.2
351.0	122.5
351.2	122.8
351.4	123.0
351.6	123.1
351.8	123.7
352.0	123.7
352.2	124.1
352.4	124.6
352.6	125.2
352.8	124.9
353.0	125.1
353.2	125.5
353.4	125.6
353.6	125.9
353.8	125.6
354.0	125.6
354.2	125.6
354.4	125.7
354.6	126.3
354.8	126.4
355.0	126.0
355.2	126.1
355.4	126.2
355.6	126.0
355.8	126.2
356.0	125.7
356.2	125.9
356.4	125.5
356.6	125.8
356.8	125.4
357.0	125.6
357.2	125.2
357.4	125.4
357.6	124.9
357.8	124.8
358.0	124.5
358.2	124.9
358.4	124.4
358.6	124.5
358.8	124.2
359.0	123.6
359.2	123.7
359.4	123.3
359.6	123.7
359.8	123.5
360.0	123.2
360.2	123.4
360.4	123.1
360.6	122.6
360.8	122.3
361.0	122.1
361.2	121.7
361.4	121.3
361.6	121.4
361.8	121.1
362.0	121.2
362.2	120.9
362.4	120.6
362.6	120.1
362.8	120.1
363.0	119.4
363.2	118.6
363.4	118.4
363.6	117.9
363.8	117.6
364.0	116.7
364.2	116.4
364.4	116.2
364.6	116.1
364.8	116.2
365.0	115.6
365.2	115.2
365.4	114.7
365.6	114.6
365.8	114.3
366.0	113.7
366.2	113.2
366.4	113.1
366.6	113.0
366.8	112.8
367.0	112.2
367.2	111.9
367.4	111.3
367.6	110.5
367.8	110.6
368.0	109.9
368.2	109.2
368.4	108.7
368.6	108.4
368.8	108.1
369.0	107.5
369.2	107.2
369.4	106.3
369.6	106.1
369.8	106.2
370.0	105.8
370.2	105.3
370.4	104.8
370.6	103.8
370.8	103.3
371.0	102.6
371.2	102.5
371.4	102.2
371.6	101.8
371.8	101.5
372.0	100.9
372.2	100.1
372.4	100.0
372.6	99.48
372.8	98.76
373.0	98.37
373.2	97.82
373.4	97.35
373.6	96.87
373.8	96.67
374.0	96.13
374.2	95.57
374.4	95.22
374.6	95.05
374.8	94.49
375.0	93.90
375.2	93.45
375.4	92.92
375.6	92.41
375.8	92.23
376.0	92.02
376.2	91.38
376.4	90.91
376.6	90.47
376.8	90.20
377.0	89.76
377.2	89.01
377.4	88.04
377.6	87.71
377.8	87.33
378.0	87.09
378.2	86.20
378.4	85.86
378.6	85.49
378.8	85.26
379.0	84.97
379.2	84.64
379.4	83.81
379.6	83.20
379.8	82.92
380.0	82.50
380.2	81.98
380.4	81.67
380.6	81.04
380.8	80.69
381.0	80.19
381.2	80.13
381.4	79.65
381.6	79.28
381.8	78.70
382.0	78.79
382.2	78.28
382.4	77.46
382.6	76.98
382.8	76.81
383.0	76.15
383.2	75.52
383.4	74.95
383.6	74.59
383.8	73.95
384.0	73.75
384.2	73.25
384.4	72.83
384.6	72.54
384.8	72.41
385.0	71.82
385.2	71.54
385.4	70.91
385.6	70.42
385.8	69.89
386.0	69.55
386.2	69.04
386.4	68.52
386.6	68.17
386.8	68.24
387.0	67.69
387.2	67.39
387.4	66.96
387.6	66.70
387.8	66.53
388.0	66.11
388.2	65.48
388.4	64.85
388.6	64.53
388.8	64.46
389.0	63.83
389.2	63.34
389.4	62.93
389.6	62.48
389.8	62.31
390.0	62.17
390.2	62.04
390.4	61.49
390.6	61.21
390.8	60.93
391.0	60.77
391.2	60.68
391.4	60.13
391.6	59.74
391.8	59.45
392.0	58.92
392.2	58.75
392.4	58.43
392.6	57.84
392.8	57.38
393.0	57.36
393.2	56.96
393.4	56.67
393.6	56.54
393.8	55.86
394.0	55.49
394.2	55.14
394.4	54.85
394.6	54.44
394.8	54.23
395.0	54.12
395.2	53.84
395.4	53.53
395.6	53.22
395.8	52.80
396.0	52.21
396.2	52.01
396.4	51.62
396.6	51.28
396.8	51.05
397.0	50.94
397.2	50.89
397.4	50.79
397.6	50.54
397.8	50.04
398.0	49.90
398.2	49.34
398.4	49.29
398.6	49.12
398.8	48.81
399.0	48.33
399.2	48.07
399.4	47.59
399.6	47.37
399.8	47.22
400.0	46.78

