Wavelength data table
Sample name	250.0nm	300.0nm	350.0nm	400.0nm	450.0nm	500.0nm	550.0nm	600.0nm	650.0nm	700.0nm	750.0nm	800.0nm	
'UPIM(EM)		166.4	624.1	123.9								

Sample:	'UPIM(EM)
File name:	UPIM-2.FDS
Run date:	'15:28:56, 01/18/2024
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial number:	2822-002
ROM Version:	5J14000 12

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	285.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	400.0 nm
Scan speed:	1200 nm/min
Delay:	0.1 s
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	400 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On

Peak integration
Integration method:	Rectangular
Sensitivity:	2
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	300.0	340.2	400.0	675.3	400.0	123.9

Data points
nm	Data
300.0	166.4
300.2	166.7
300.4	167.5
300.6	169.3
300.8	171.6
301.0	174.4
301.2	176.8
301.4	180.1
301.6	181.7
301.8	185.0
302.0	188.0
302.2	191.0
302.4	194.4
302.6	197.7
302.8	200.0
303.0	203.7
303.2	206.2
303.4	209.8
303.6	213.1
303.8	216.1
304.0	219.0
304.2	221.9
304.4	224.3
304.6	227.6
304.8	230.3
305.0	233.8
305.2	236.4
305.4	239.0
305.6	241.9
305.8	244.7
306.0	247.2
306.2	250.0
306.4	252.1
306.6	255.1
306.8	258.1
307.0	261.9
307.2	264.6
307.4	267.8
307.6	270.2
307.8	273.0
308.0	276.0
308.2	279.6
308.4	282.4
308.6	285.9
308.8	289.1
309.0	292.1
309.2	295.3
309.4	298.7
309.6	301.2
309.8	304.9
310.0	308.0
310.2	311.3
310.4	314.2
310.6	317.6
310.8	320.9
311.0	324.5
311.2	327.6
311.4	330.9
311.6	334.4
311.8	338.4
312.0	341.5
312.2	344.6
312.4	347.5
312.6	351.5
312.8	355.1
313.0	358.7
313.2	362.3
313.4	365.6
313.6	369.1
313.8	372.5
314.0	374.9
314.2	378.1
314.4	381.6
314.6	385.0
314.8	388.4
315.0	392.6
315.2	396.8
315.4	401.0
315.6	404.1
315.8	406.7
316.0	409.2
316.2	411.8
316.4	415.4
316.6	418.5
316.8	421.6
317.0	425.8
317.2	430.1
317.4	433.8
317.6	437.1
317.8	440.1
318.0	444.0
318.2	447.7
318.4	451.4
318.6	455.0
318.8	458.0
319.0	460.5
319.2	463.5
319.4	466.7
319.6	469.1
319.8	472.2
320.0	474.8
320.2	477.4
320.4	480.0
320.6	482.6
320.8	485.0
321.0	487.3
321.2	490.2
321.4	493.1
321.6	496.1
321.8	499.7
322.0	501.8
322.2	504.5
322.4	507.1
322.6	510.1
322.8	513.2
323.0	516.5
323.2	520.4
323.4	523.7
323.6	526.3
323.8	529.7
324.0	533.1
324.2	535.5
324.4	537.9
324.6	540.8
324.8	542.9
325.0	546.8
325.2	549.2
325.4	551.3
325.6	554.3
325.8	558.1
326.0	561.4
326.2	565.1
326.4	567.4
326.6	569.3
326.8	570.9
327.0	572.9
327.2	575.8
327.4	578.0
327.6	581.2
327.8	583.0
328.0	584.0
328.2	586.8
328.4	588.6
328.6	591.0
328.8	593.1
329.0	595.9
329.2	598.2
329.4	600.0
329.6	602.0
329.8	604.3
330.0	607.2
330.2	609.3
330.4	611.8
330.6	614.5
330.8	616.3
331.0	619.3
331.2	621.3
331.4	623.8
331.6	626.8
331.8	628.4
332.0	630.1
332.2	632.1
332.4	634.8
332.6	635.5
332.8	637.9
333.0	638.9
333.2	641.3
333.4	642.3
333.6	644.4
333.8	646.4
334.0	648.4
334.2	650.7
334.4	652.3
334.6	654.1
334.8	654.7
335.0	655.3
335.2	655.7
335.4	655.7
335.6	657.3
335.8	658.8
336.0	659.8
336.2	661.1
336.4	661.0
336.6	660.5
336.8	661.0
337.0	660.9
337.2	661.6
337.4	661.9
337.6	663.4
337.8	664.7
338.0	665.7
338.2	665.5
338.4	667.8
338.6	668.1
338.8	669.4
