Wavelength data table
Sample name	250.0nm	300.0nm	350.0nm	400.0nm	450.0nm	500.0nm	550.0nm	600.0nm	650.0nm	700.0nm	750.0nm	800.0nm	
'UPPI-INU(EM)		136.0	470.1	97.03								

Sample:	'UPPI-INU(EM)
File name:	UPPI-INU-1_20240118_143249.FDS
Run date:	'14:32:38, 01/18/2024
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial number:	2822-002
ROM Version:	5J14000 12

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	285.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	400.0 nm
Scan speed:	1200 nm/min
Delay:	0.1 s
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	400 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On

Peak integration
Integration method:	Rectangular
Sensitivity:	2
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	300.0	339.0	400.0	506.0	400.0	97.03

Data points
nm	Data
300.0	136.0
300.2	136.5
300.4	137.5
300.6	139.2
300.8	141.1
301.0	142.8
301.2	144.9
301.4	146.7
301.6	148.9
301.8	150.6
302.0	153.1
302.2	155.0
302.4	157.4
302.6	159.8
302.8	162.1
303.0	164.2
303.2	167.0
303.4	168.8
303.6	171.2
303.8	173.7
304.0	176.2
304.2	178.6
304.4	180.8
304.6	182.5
304.8	184.6
305.0	186.5
305.2	189.1
305.4	191.1
305.6	193.6
305.8	195.2
306.0	197.2
306.2	199.1
306.4	201.6
306.6	203.8
306.8	205.5
307.0	207.6
307.2	210.4
307.4	212.6
307.6	214.4
307.8	216.5
308.0	218.7
308.2	220.8
308.4	224.0
308.6	225.8
308.8	228.1
309.0	229.9
309.2	232.8
309.4	234.6
309.6	237.6
309.8	239.8
310.0	242.2
310.2	244.9
310.4	248.0
310.6	250.4
310.8	253.0
311.0	255.1
311.2	257.7
311.4	260.3
311.6	263.2
311.8	265.1
312.0	267.1
312.2	269.4
312.4	271.9
312.6	275.0
312.8	277.5
313.0	279.9
313.2	282.5
313.4	285.7
313.6	288.0
313.8	290.0
314.0	293.0
314.2	295.4
314.4	298.8
314.6	300.8
314.8	302.7
315.0	305.6
315.2	307.8
315.4	310.0
315.6	312.5
315.8	313.9
316.0	316.7
316.2	319.8
316.4	321.9
316.6	323.7
316.8	326.0
317.0	328.4
317.2	330.9
317.4	332.9
317.6	336.5
317.8	338.1
318.0	339.8
318.2	342.6
318.4	345.1
318.6	347.8
318.8	350.4
319.0	353.8
319.2	356.1
319.4	358.2
319.6	359.3
319.8	361.5
320.0	363.2
320.2	365.4
320.4	367.3
320.6	369.9
320.8	372.3
321.0	373.6
321.2	375.4
321.4	377.6
321.6	379.5
321.8	381.4
322.0	383.3
322.2	385.1
322.4	386.8
322.6	390.0
322.8	392.1
323.0	394.4
323.2	396.6
323.4	399.7
323.6	400.9
323.8	403.2
324.0	405.1
324.2	407.3
324.4	409.3
324.6	411.1
324.8	413.7
325.0	415.1
325.2	417.1
325.4	419.8
325.6	422.4
325.8	424.5
326.0	426.3
326.2	427.5
326.4	428.8
326.6	431.1
326.8	431.9
327.0	434.2
327.2	435.0
327.4	437.5
327.6	439.2
327.8	441.0
328.0	443.2
328.2	445.5
328.4	447.3
328.6	448.2
328.8	450.0
329.0	451.2
329.2	453.1
329.4	453.8
329.6	455.0
329.8	456.8
330.0	458.2
330.2	460.0
330.4	461.1
330.6	462.6
330.8	464.3
331.0	466.1
331.2	468.0
331.4	469.4
331.6	469.9
331.8	471.9
332.0	472.8
332.2	474.9
332.4	476.4
332.6	478.9
332.8	480.2
333.0	481.6
333.2	483.1
333.4	484.5
333.6	485.4
333.8	486.2
334.0	487.3
334.2	489.2
334.4	490.1
334.6	490.9
