Wavelength data table
Sample name	250.0nm	300.0nm	350.0nm	400.0nm	450.0nm	500.0nm	550.0nm	600.0nm	650.0nm	700.0nm	750.0nm	800.0nm	
'UPPI-INU(EM)		138.8	478.2	98.72								

Sample:	'UPPI-INU(EM)
File name:	UPPI-INU-3.FDS
Run date:	'14:34:55, 01/18/2024
Operator:	Administrator
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial number:	2822-002
ROM Version:	5J14000 12

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	285.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	400.0 nm
Scan speed:	1200 nm/min
Delay:	0.1 s
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	400 V
Response:	Auto 
Corrected spectra:	Off
Shutter control:	On

Peak integration
Integration method:	Rectangular
Sensitivity:	2
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	300.0	340.4	400.0	515.2	400.0	98.72

Data points
nm	Data
300.0	138.8
300.2	139.3
300.4	140.9
300.6	143.2
300.8	146.0
301.0	147.9
301.2	149.9
301.4	151.7
301.6	153.3
301.8	155.6
302.0	158.0
302.2	160.3
302.4	163.1
302.6	165.2
302.8	167.9
303.0	170.0
303.2	172.3
303.4	173.8
303.6	175.5
303.8	177.3
304.0	180.3
304.2	181.6
304.4	184.4
304.6	186.3
304.8	188.1
305.0	190.3
305.2	192.9
305.4	195.0
305.6	197.9
305.8	200.0
306.0	202.9
306.2	204.6
306.4	207.2
306.6	209.4
306.8	211.4
307.0	213.9
307.2	216.8
307.4	218.7
307.6	221.2
307.8	223.8
308.0	225.9
308.2	228.4
308.4	231.6
308.6	233.9
308.8	236.9
309.0	239.0
309.2	241.5
309.4	243.9
309.6	245.7
309.8	247.5
310.0	250.2
310.2	252.7
310.4	254.9
310.6	257.1
310.8	259.4
311.0	261.5
311.2	263.9
311.4	266.2
311.6	268.2
311.8	270.6
312.0	273.5
312.2	276.4
312.4	278.9
312.6	281.5
312.8	284.2
313.0	287.3
313.2	290.3
313.4	293.2
313.6	296.5
313.8	298.9
314.0	302.4
314.2	306.3
314.4	308.5
314.6	310.5
314.8	313.4
315.0	315.9
315.2	318.7
315.4	321.7
315.6	323.5
315.8	324.7
316.0	327.2
316.2	328.9
316.4	331.3
316.6	333.3
316.8	335.5
317.0	337.4
317.2	339.3
317.4	340.7
317.6	343.0
317.8	344.9
318.0	347.5
318.2	349.8
318.4	352.8
318.6	355.1
318.8	356.8
319.0	359.3
319.2	362.1
319.4	364.6
319.6	367.0
319.8	368.9
320.0	371.7
320.2	374.5
320.4	376.6
320.6	378.2
320.8	381.3
321.0	383.6
321.2	386.5
321.4	388.4
321.6	391.7
321.8	393.9
322.0	396.1
322.2	397.9
322.4	400.2
322.6	401.7
322.8	403.4
323.0	405.4
323.2	408.1
323.4	409.2
323.6	410.9
323.8	411.7
324.0	413.1
324.2	414.8
324.4	416.8
324.6	418.8
324.8	420.8
325.0	424.0
325.2	425.8
325.4	427.8
325.6	429.4
325.8	431.0
326.0	433.0
326.2	435.7
326.4	438.0
326.6	440.0
326.8	441.8
327.0	443.2
327.2	445.2
327.4	446.6
327.6	449.9
327.8	452.3
328.0	454.5
328.2	456.1
328.4	457.7
328.6	459.2
328.8	461.0
329.0	462.5
329.2	464.5
329.4	466.0
329.6	467.5
329.8	469.3
330.0	471.0
330.2	472.9
330.4	473.7
330.6	474.0
330.8	476.3
331.0	477.9
331.2	479.6
331.4	480.8
331.6	482.9
